Thu Jun 25 05:32:58 2026    profile_results.prof

         26003410 function calls (26003333 primitive calls) in 5.740 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
       18    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1117(_recalculate)
        4    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1103(_find_parent_path_names)
       11    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
        1    0.000    0.000    0.000    0.000 D:\projects\geometry\geometry\core\segment.py:3(Segment)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 D:\projects\geometry\geometry\core\point.py:3(Point)
        1    0.000    0.000    0.000    0.000 D:\projects\geometry\geometry\shapes\polygon.py:3(Polygon)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
        1    0.000    0.000    0.000    0.000 D:\projects\geometry\geometry\shapes\circle.py:3(Circle)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(is_package)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


